===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
768,,768,2022-01-24 19:47:00,1838.46,1838.77,1838.445,1838.67,0.0,-1.0,MyStrategy,768,738179.8243055556,Broker,768,10000.0,10000.0,BuySell,768,,,Trades - Net Profit/Loss,768,,
769,,769,2022-01-24 19:48:00,1838.67,1838.755,1838.14,1838.285,0.0,-1.0,MyStrategy,769,738179.825,Broker,769,10000.0,10000.0,BuySell,769,,,Trades - Net Profit/Loss,769,,
770,,770,2022-01-24 19:49:00,1838.285,1838.47,1838.09,1838.13,0.0,-1.0,MyStrategy,770,738179.8256944445,Broker,770,10000.0,10000.0,BuySell,770,,,Trades - Net Profit/Loss,770,,
771,,771,2022-01-24 19:50:00,1838.13,1838.395,1838.035,1838.08,0.0,-1.0,MyStrategy,771,738179.8263888889,Broker,771,10000.0,10000.0,BuySell,771,,,Trades - Net Profit/Loss,771,,
772,,772,2022-01-24 19:51:00,1838.08,1838.235,1837.89,1838.235,0.0,-1.0,MyStrategy,772,738179.8270833333,Broker,772,10000.0,10000.0,BuySell,772,,,Trades - Net Profit/Loss,772,,
773,,773,2022-01-24 19:52:00,1838.235,1838.325,1838.05,1838.205,0.0,-1.0,MyStrategy,773,738179.8277777778,Broker,773,10000.0,10000.0,BuySell,773,,,Trades - Net Profit/Loss,773,,
774,,774,2022-01-24 19:53:00,1838.205,1838.485,1838.16,1838.28,0.0,-1.0,MyStrategy,774,738179.8284722222,Broker,774,10000.0,10000.0,BuySell,774,,,Trades - Net Profit/Loss,774,,
775,,775,2022-01-24 19:54:00,1838.28,1838.325,1838.015,1838.325,0.0,-1.0,MyStrategy,775,738179.8291666667,Broker,775,10000.0,10000.0,BuySell,775,,,Trades - Net Profit/Loss,775,,
776,,776,2022-01-24 19:55:00,1838.325,1838.325,1838.095,1838.25,0.0,-1.0,MyStrategy,776,738179.8298611111,Broker,776,10000.0,10000.0,BuySell,776,,,Trades - Net Profit/Loss,776,,
777,,777,2022-01-24 19:56:00,1838.25,1838.26,1838.03,1838.125,0.0,-1.0,MyStrategy,777,738179.8305555555,Broker,777,10000.0,10000.0,BuySell,777,,,Trades - Net Profit/Loss,777,,
778,,778,2022-01-24 19:57:00,1838.125,1838.32,1837.89,1837.93,0.0,-1.0,MyStrategy,778,738179.83125,Broker,778,10000.0,10000.0,BuySell,778,,,Trades - Net Profit/Loss,778,,
779,,779,2022-01-24 19:58:00,1837.93,1838.505,1837.845,1838.34,0.0,-1.0,MyStrategy,779,738179.8319444444,Broker,779,10000.0,10000.0,BuySell,779,,,Trades - Net Profit/Loss,779,,
780,,780,2022-01-24 19:59:00,1838.34,1838.47,1838.11,1838.245,0.0,-1.0,MyStrategy,780,738179.8326388889,Broker,780,10000.0,10000.0,BuySell,780,,,Trades - Net Profit/Loss,780,,
781,,781,2022-01-24 20:00:00,1838.245,1838.465,1838.17,1838.305,0.0,-1.0,MyStrategy,781,738179.8333333334,Broker,781,10000.0,10000.0,BuySell,781,,,Trades - Net Profit/Loss,781,,
782,,782,2022-01-24 20:01:00,1838.305,1838.605,1838.275,1838.51,0.0,-1.0,MyStrategy,782,738179.8340277778,Broker,782,10000.0,10000.0,BuySell,782,,,Trades - Net Profit/Loss,782,,
783,,783,2022-01-24 20:02:00,1838.51,1839.28,1838.51,1839.13,0.0,-1.0,MyStrategy,783,738179.8347222222,Broker,783,10000.0,10000.0,BuySell,783,,,Trades - Net Profit/Loss,783,,
784,,784,2022-01-24 20:03:00,1839.13,1839.2,1838.335,1838.47,0.0,-1.0,MyStrategy,784,738179.8354166667,Broker,784,10000.0,10000.0,BuySell,784,,,Trades - Net Profit/Loss,784,,
785,,785,2022-01-24 20:04:00,1838.47,1838.645,1838.38,1838.595,0.0,-1.0,MyStrategy,785,738179.8361111111,Broker,785,10000.0,10000.0,BuySell,785,,,Trades - Net Profit/Loss,785,,
786,,786,2022-01-24 20:05:00,1838.595,1839.475,1838.525,1839.14,0.0,-1.0,MyStrategy,786,738179.8368055555,Broker,786,10000.0,10000.0,BuySell,786,,,Trades - Net Profit/Loss,786,,
787,,787,2022-01-24 20:06:00,1839.14,1839.37,1839.045,1839.21,0.0,-1.0,MyStrategy,787,738179.8375,Broker,787,10000.0,10000.0,BuySell,787,,,Trades - Net Profit/Loss,787,,
788,,788,2022-01-24 20:07:00,1839.21,1839.21,1838.94,1839.165,0.0,-1.0,MyStrategy,788,738179.8381944444,Broker,788,10000.0,10000.0,BuySell,788,,,Trades - Net Profit/Loss,788,,
789,,789,2022-01-24 20:08:00,1839.165,1839.25,1839.07,1839.17,0.0,-1.0,MyStrategy,789,738179.838888889,Broker,789,10000.0,10000.0,BuySell,789,,,Trades - Net Profit/Loss,789,,
790,,790,2022-01-24 20:09:00,1839.17,1840.83,1839.095,1840.83,0.0,-1.0,MyStrategy,790,738179.8395833333,Broker,790,10000.0,10000.0,BuySell,790,,,Trades - Net Profit/Loss,790,,
791,,791,2022-01-24 20:10:00,1840.83,1840.98,1840.325,1840.355,0.0,-1.0,MyStrategy,791,738179.8402777778,Broker,791,10000.0,10000.0,BuySell,791,,,Trades - Net Profit/Loss,791,,
792,,792,2022-01-24 20:11:00,1840.355,1840.56,1840.32,1840.335,0.0,-1.0,MyStrategy,792,738179.8409722223,Broker,792,10000.0,10000.0,BuySell,792,,,Trades - Net Profit/Loss,792,,
